样本号,原始一字板个数,GBRT预测一字板个数,DTR预测一字板个数,样本号,GBRT,DTR with Adaboost,GBRT,DTR with Adaboost
1,1,1.3,3.8,1,70.00%,0.00%,0.3,2.8
2,1,1.1,1.2,2,90.00%,80.00%,0.1,0.2
3,1,0.4,1,3,40.00%,100.00%,0.6,0
4,2,1.2,2,4,60.00%,100.00%,0.8,0
5,2,1.2,2,5,60.00%,100.00%,0.8,0
6,4,1.2,3,6,30.00%,75.00%,2.8,1
7,4,2.6,2,7,65.00%,50.00%,1.4,2
8,4,5.6,6,8,60.00%,50.00%,1.6,2
9,5,6.2,6.6,9,76.00%,68.00%,1.2,1.6
10,6,6.9,6.5,10,85.00%,91.67%,0.9,0.5
11,6,9.7,9.2,11,38.33%,46.67%,3.7,3.2
12,6,6.4,7.3,12,93.33%,78.33%,0.4,1.3
13,6,11.7,9,13,5.00%,50.00%,5.7,3
14,6,9.3,9.1,14,45.00%,48.33%,3.3,3.1
15,6,6.3,7.6,15,95.00%,73.33%,0.3,1.6
16,7,11.7,10.7,16,32.86%,47.14%,4.7,3.7
17,7,8.3,8.4,17,81.43%,80.00%,1.3,1.4
18,7,11.5,10.4,18,35.71%,51.43%,4.5,3.4
19,7,12.1,10,19,27.14%,57.14%,5.1,3
20,7,9.6,9.2,20,62.86%,68.57%,2.6,2.2
21,7,10.5,9.3,21,50.00%,67.14%,3.5,2.3
22,8,8.8,9.5,22,90.00%,81.25%,0.8,1.5
23,8,9.5,10,23,81.25%,75.00%,1.5,2
24,8,7.5,8,24,93.75%,100.00%,0.5,0
25,8,13.3,11.1,25,33.75%,61.25%,5.3,3.1
26,8,9.3,9.2,26,83.75%,85.00%,1.3,1.2
27,9,7.5,7.6,27,83.33%,84.44%,1.5,1.4
28,10,11.5,10.3,28,85.00%,97.00%,1.5,0.3
29,10,11.3,9.3,29,87.00%,93.00%,1.3,0.7
30,10,15.3,13.9,30,47.00%,61.00%,5.3,3.9
31,10,8.8,9.3,31,88.00%,93.00%,1.2,0.7
32,10,8.4,8.6,32,84.00%,86.00%,1.6,1.4
33,11,3.9,4.8,33,35.45%,43.64%,7.1,6.2
34,11,14.4,15,34,69.09%,63.64%,3.4,4
35,13,11,12,35,84.62%,92.31%,2,1
36,14,17,15.3,36,78.57%,90.71%,3,1.3
37,15,17,18,37,86.67%,80.00%,2,3
38,15,8.8,12.1,38,58.67%,80.67%,6.2,2.9
39,16,19.8,15,39,76.25%,93.75%,3.8,1
40,17,20,16.9,40,82.35%,99.41%,3,0.1
41,19,10.8,10.7,41,56.84%,56.32%,8.2,8.3
42,22,15,12.2,42,68.18%,55.45%,7,9.8
43,23,18.3,12.3,43,79.57%,53.48%,4.7,10.7
44,24,22.5,17.2,44,93.75%,71.67%,1.5,6.8
45,25,17,12.3,45,68.00%,49.20%,8,12.7
46,26,15.9,16.8,46,61.15%,64.62%,10.1,9.2
,,,,,,,2.986956522,2.858695652
